3 12 2 3 3399 5 5 2 3 1 3 3 37 3 2 1 4 2 1 2
4 24 2 3 999 5 5 4 3 1 2 3 25 3 2 2 3 2 1 2
4 24 3 9 2978 5 3 4 3 1 4 1 32 3 2 2 3 1 2 2
4 10 2 1 2848 2 3 1 3 2 2 1 32 3 2 1 3 1 1 2
2 12 2 2 3017 1 2 3 2 1 1 1 34 3 1 1 4 2 1 2
2 27 3 1 5965 1 5 1 3 1 2 3 30 3 2 2 4 2 2 2
1 9 2 3 1364 1 4 3 3 1 4 1 59 3 2 1 3 2 1 2
4 24 4 2 2028 1 4 2 3 1 2 2 30 3 2 2 2 2 1 2
4 12 4 2 5801 5 5 2 3 1 4 2 49 3 1 1 3 2 2 1
4 18 2 2 2515 1 3 3 3 1 4 1 43 3 2 1 3 2 2 2
2 12 4 0 3124 1 2 1 3 1 3 1 49 1 2 2 2 1 1 2
2 21 4 2 2745 4 4 3 3 1 2 3 32 3 2 2 3 2 2 2
